ADAM7	1
ADAM8	1
ADAMDEC1	1
ADAMTS1	1
ADAMTS10	1
ADAMTS12	1
ADAMTS15	1
ADAMTS16	1
ADAMTS18	1
ADAMTS19	1
ADAMTS2	1
ADAMTS20	1
ADAMTS3	1
ADAMTS4	1
ADAMTS5	1
ADAMTS6	1
ADAMTS7	1
ADAMTS8	1
ADAMTS9	1
ADAMTSL2	1
ADAMTSL3	1
ADAMTSL4	1
ADAMTSL5	1
ADAP1	1
ADAP2	1
ADAR	1
ADARB1	1
ADARB2	1
ADAT1	1
ADAT2	1
ADAT3	1
ADC	1
ADCK1	1
ADCK2	1
ADCK4	1
ADCK5	1
ADCY1	1
ADCY10	1
ADCY2	1
ADCY3	1
ADCY4	1
ADCY6	1
ADCY8	1
ADCYAP1	1
ADCYAP1R1	1
ADD1	1
ADD3	1
ADH1A	1
ADH1B	1
ADH1C	1
ADH4	1
ADH5	1
ADH6	1
ADH7	1
ADHFE1	1
ADI1	1
ADIG	1
ADIPOQ	1
ADIPOR1	1
ADIPOR2	1
ADK	1
ADM	1
ADM2	1
ADNP	1
ADO	1
ADORA1	1
ADORA2A	1
ADORA2B	1
ADORA3	1
ADPRH	1
ADPRHL1	1
ADRA1A	1
ADRA1B	1
ADRA1D	1
ADRA2A	1
ADRA2C	1
ADRB1	1
ADRB2	1
ADRB3	1
ADRBK2	1
ADRM1	1
ADSL	1
ADSS	1
ADSSL1	1
AEBP1	1
AEBP2	1
AEN	1
AES	1
AFAP1	1
AFF1	1
AFF2	1
AFF3	1
AFF4	1
AFG3L2	1
AFM	1
AFMID	1
AFTPH	1
AGA	1
AGAP1	1
AGAP11	1
AGAP3	1
AGAP4	1
AGAP5	1
AGAP6	1
AGAP7	1
AGAP8	1
AGBL1	1
AGBL2	1
AGBL3	1
AGBL4	1
AGBL5	1
AGER	1
AGFG1	1
AGGF1	1
AGK	1
AGMAT	1
AGPAT1	1
AGPAT2	1
AGPAT3	1
AGPAT4	1
AGPAT5	1
AGPAT9	1
AGPHD1	1
AGPS	1
AGR2	1
AGR3	1
AGRP	1
AGT	1
AGTR2	1
AGTRAP	1
AGXT	1
AGXT2	1
AGXT2L1	1
AGXT2L2	1
AHCTF1	1
AHCY	1
AHCYL1	1
AHCYL2	1
AHNAK2	1
AHR	1
AHRR	1
AHSA1	1
AHSA2	1
AHSG	1
AHSP	1
AICDA	1
AIF1	1
AIF1L	1
AIFM1	1
AIFM2	1
AIFM3	1
AIG1	1
AIM1L	1
AIM2	1
AIMP1	1
AIMP2	1
AIPL1	1
AIRE	1
AJAP1	1
AK1	1
AK2	1
AK3	1
AK3L1	1
AK5	1
AK7	1
AKAP1	1
AKAP10	1
AKAP11	1
AKAP12	1
AKAP13	1
AKAP14	1
AKAP2	1
AKAP3	1
AKAP4	1
AKAP5	1
AKAP6	1
AKAP7	1
AKAP8L	1
AKAP9	1
AKIRIN2	1
AKNA	1
AKNAD1	1
AKR1A1	1
AKR1B10	1
AKR1B15	1
AKR1C2	1
AKR1C3	1
AKR1C4	1
AKR1D1	1
AKR1E2	1
AKR7A2	1
AKR7A3	1
AKR7L	1
AKT1	1
AKT1S1	1
AKT3	1
AKTIP	1
ALAD	1
ALAS1	1
ALAS2	1
ALB	1
ALCAM	1
ALDH16A1	1
ALDH1A1	1
ALDH1A2	1
ALDH1A3	1
ALDH1B1	1
ALDH2	1
ALDH3B1	1
ALDH4A1	1
ALDH5A1	1
ALDH6A1	1
ALDH7A1	1
ALDH8A1	1
ALDH9A1	1
ALDOB	1
ALDOC	1
ALG1	1
ALG10	1
ALG10B	1
ALG11	1
ALG12	1
ALG13	1
ALG14	1
ALG1L	1
ALG1L2	1
ALG2	1
ALG3	1
ALG5	1
ALG6	1
ALG9	1
ALKBH1	1
ALKBH2	1
ALKBH3	1
ALKBH4	1
ALKBH6	1
ALKBH7	1
ALKBH8	1
ALMS1	1
ALMS1P	1
ALOX12	1
ALOX12B	1
ALOX12P2	1
ALOX15	1
ALOX15B	1
ALOX5	1
ALOX5AP	1
ALPI	1
ALPK1	1
ALPK2	1
ALPK3	1
ALPL	1
ALPP	1
ALPPL2	1
ALS2	1
ALS2CL	1
ALS2CR11	1
ALS2CR12	1
ALS2CR4	1
ALX1	1
ALX3	1
ALX4	1
AMAC1	1
AMAC1L2	1
AMACR	1
AMBN	1
AMBP	1
AMBRA1	1
AMD1	1
AMDHD1	1
AMDHD2	1
AMELX	1
AMELY	1
AMFR	1
AMH	1
AMHR2	1
AMICA1	1
AMIGO1	1
AMIGO2	1
AMIGO3	1
AMMECR1	1
AMMECR1L	1
AMN	1
AMOTL1	1
AMPD2	1
AMPD3	1
AMPH	1
AMT	1
AMTN	1
AMY1A	1
AMY1B	1
AMY1C	1
AMY2A	1
AMY2B	1
ANAPC1	1
ANAPC10	1
ANAPC11	1
ANAPC13	1
ANAPC16	1
ANAPC2	1
ANAPC4	1
ANAPC5	1
ANG	1
ANGEL1	1
ANGPT1	1
ANGPT2	1
ANGPTL1	1
ANGPTL2	1
ANGPTL3	1
ANGPTL4	1
ANGPTL5	1
ANGPTL7	1
ANK1	1
ANK2	1
ANK3	1
ANKAR	1
ANKDD1A	1
ANKFN1	1
ANKFY1	1
ANKH	1
ANKHD1-EIF4EBP3	1
ANKIB1	1
ANKK1	1
ANKLE2	1
ANKMY1	1
ANKMY2	1
ANKRA2	1
ANKRD1	1
ANKRD10	1
ANKRD11	1
ANKRD13A	1
ANKRD13B	1
ANKRD13C	1
ANKRD17	1
ANKRD2	1
ANKRD20A1	1
ANKRD20A3	1
ANKRD23	1
ANKRD26	1
ANKRD28	1
ANKRD30A	1
ANKRD30B	1
ANKRD31	1
ANKRD33	1
ANKRD34A	1
ANKRD34B	1
ANKRD35	1
ANKRD36	1
ANKRD36B	1
ANKRD36BP1	1
ANKRD37	1
ANKRD39	1
ANKRD42	1
ANKRD43	1
ANKRD44	1
ANKRD45	1
ANKRD46	1
ANKRD49	1
ANKRD5	1
ANKRD52	1
ANKRD53	1
ANKRD54	1
ANKRD55	1
ANKRD56	1
ANKRD57	1
ANKRD58	1
ANKRD6	1
ANKRD7	1
ANKRD9	1
ANKS1A	1
ANKS1B	1
ANKS3	1
ANKS4B	1
ANKS6	1
ANKZF1	1
ANO10	1
ANO2	1
ANO3	1
ANO4	1
ANO5	1
ANO6	1
ANO7	1
ANO9	1
ANP32A	1
ANP32B	1
ANP32C	1
ANP32D	1
ANTXR1	1
ANTXR2	1
ANXA1	1
ANXA10	1
ANXA13	1
ANXA2	1
ANXA4	1
ANXA5	1
ANXA7	1
ANXA8	1
ANXA8L2	1
ANXA9	1
AOAH	1
AOC2	1
AOC3	1
AOX1	1
AP1AR	1
AP1B1	1
AP1G1	1
AP1M1	1
AP1M2	1
AP1S1	1
AP1S2	1
AP1S3	1
AP2A2	1
AP2B1	1
AP2S1	1
AP3B1	1
AP3B2	1
AP3D1	1
AP3M1	1
AP3S1	1
AP4B1	1
AP4E1	1
AP4M1	1
AP4S1	1
APAF1	1
APBA3	1
APBB1	1
APBB2	1
APBB3	1
APC2	1
APCDD1L	1
APCS	1
APEH	1
APEX1	1
APEX2	1
APIP	1
APLF	1
APLN	1
APLNR	1
APLP1	1
APOA1	1
APOA1BP	1
APOA2	1
APOA4	1
APOA5	1
APOB	1
APOBEC1	1
APOBEC2	1
APOBEC3A	1
APOBEC3B	1
APOBEC3C	1
APOBEC3D	1
APOBEC3F	1
APOBEC3G	1
APOBEC3H	1
APOBEC4	1
APOC1	1
APOC2	1
APOC3	1
APOC4	1
APOD	1
APOE	1
APOF	1
APOH	1
APOL1	1
APOL2	1
APOL3	1
APOL4	1
APOL5	1
APOL6	1
APOLD1	1
APOM	1
APOO	1
APOOL	1
APPL1	1
APPL2	1
APRT	1
APTX	1
AQP1	1
AQP12B	1
AQP2	1
AQP3	1
AQP4	1
AQP5	1
AQP6	1
AQP7	1
AQP8	1
AQP9	1
AQPEP	1
AQR	1
ARAF	1
ARAP1	1
ARAP2	1
ARAP3	1
ARC	1
ARCN1	1
AREG	1
ARF3	1
ARF4	1
ARF5	1
ARF6	1
ARFGAP2	1
ARFGAP3	1
ARFGEF1	1
ARFGEF2	1
ARFIP1	1
ARFIP2	1
ARFRP1	1
ARG1	1
ARG2	1
ARGFX	1
ARGLU1	1
ARHGAP1	1
ARHGAP10	1
ARHGAP11A	1
ARHGAP11B	1
ARHGAP12	1
ARHGAP15	1
ARHGAP17	1
ARHGAP18	1
ARHGAP19	1
ARHGAP20	1
ARHGAP21	1
ARHGAP22	1
ARHGAP23	1
ARHGAP25	1
ARHGAP26	1
ARHGAP27	1
ARHGAP28	1
ARHGAP29	1
ARHGAP30	1
ARHGAP31	1
ARHGAP32	1
ARHGAP33	1
ARHGAP35	1
ARHGAP36	1
ARHGAP39	1
ARHGAP4	1
ARHGAP42	1
ARHGAP6	1
ARHGAP8	1
ARHGAP9	1
ARHGDIA	1
ARHGDIB	1
ARHGDIG	1
ARHGEF10	1
ARHGEF10L	1
ARHGEF11	1
ARHGEF12	1
ARHGEF16	1
ARHGEF18	1
ARHGEF19	1
ARHGEF2	1
ARHGEF3	1
ARHGEF33	1
ARHGEF35	1
ARHGEF37	1
ARHGEF38	1
ARHGEF6	1
ARHGEF9	1
ARID2	1
ARID3A	1
ARID3B	1
ARID3C	1
ARID4A	1
ARID5A	1
ARID5B	1
ARIH1	1
ARIH2	1
ARL1	1
ARL10	1
ARL11	1
ARL13A	1
ARL13B	1
ARL14	1
ARL15	1
ARL16	1
ARL17A	1
ARL17B	1
ARL2	1
ARL2BP	1
ARL3	1
ARL4A	1
ARL4C	1
ARL4D	1
ARL5A	1
ARL5B	1
ARL6	1
ARL6IP1	1
ARL6IP4	1
ARL6IP5	1
ARL8A	1
ARL8B	1
ARL9	1
ARMC1	1
ARMC10	1
ARMC2	1
ARMC3	1
ARMC4	1
ARMC5	1
ARMC6	1
ARMC7	1
ARMC8	1
ARMC9	1
ARMCX2	1
ARMCX3	1
ARMCX5	1
ARMCX6	1
ARMS2	1
ARNT	1
ARNT2	1
ARNTL	1
ARNTL2	1
ARPC1A	1
ARPC1B	1
ARPC2	1
ARPC3	1
ARPC4	1
ARPC5	1
ARPC5L	1
ARPM1	1
ARPP19	1
ARPP21	1
ARR3	1
ARRB1	1
ARRB2	1
ARRDC1	1
ARRDC2	1
ARRDC4	1
ARRDC5	1
ARSA	1
ARSB	1
ARSD	1
ARSE	1
ARSF	1
ARSG	1
ARSH	1
ARSI	1
ARSJ	1
ARSK	1
ART1	1
ART3	1
ART4	1
ARTN	1
ARV1	1
ARX	1
AS3MT	1
ASAH1	1
ASAH2	1
ASAH2B	1
ASAM	1
ASAP1	1
ASAP3	1
ASB1	1
ASB10	1
ASB11	1
ASB12	1
ASB14	1
ASB15	1
ASB16	1
ASB18	1
ASB2	1
ASB3	1
ASB4	1
ASB6	1
ASB8	1
ASB9	1
ASCC1	1
ASCC2	1
ASCC3	1
ASCL1	1
ASCL2	1
ASCL3	1
ASCL4	1
ASF1A	1
ASF1B	1
ASGR1	1
ASH1L	1
ASIP	1
ASL	1
ASMT	1
ASMTL	1
ASNA1	1
ASNS	1
ASNSD1	1
ASPDH	1
ASPG	1
ASPH	1
ASPHD1	1
ASPM	1
ASPN	1
ASPRV1	1
ASPSCR1	1
ASRGL1	1
ASS1	1
ASTE1	1
ASTL	1
ASTN1	1
ASTN2	1
ASXL1	1
ASXL3	1
ASZ1	1
ATAD2	1
ATAD3A	1
ATAD3C	1
ATCAY	1
ATE1	1
ATF1	1
ATF2	1
ATF3	1
ATF4	1
ATF5	1
ATF6B	1
ATF7	1
ATF7IP2	1
ATG10	1
ATG12	1
ATG16L1	1
ATG2A	1
ATG2B	1
ATG3	1
ATG4A	1
ATG4B	1
ATG4C	1
ATG4D	1
ATG7	1
ATG9A	1
ATL1	1
ATL2	1
ATL3	1
ATMIN	1
ATN1	1
ATOH1	1
ATOH7	1
ATOH8	1
ATOX1	1
ATP10A	1
ATP10B	1
ATP10D	1
ATP11B	1
ATP11C	1
ATP12A	1
ATP13A1	1
ATP13A2	1
ATP13A3	1
ATP13A4	1
ATP13A5	1
ATP1A2	1
ATP1A3	1
ATP1B2	1
ATP1B3	1
ATP2A2	1
ATP2A3	1
ATP2B1	1
ATP2B2	1
ATP2B3	1
ATP2B4	1
ATP2C1	1
ATP2C2	1
ATP4B	1
ATP5A1	1
ATP5B	1
ATP5D	1
ATP5EP2	1
ATP5F1	1
ATP5G2	1
ATP5G3	1
ATP5H	1
ATP5I	1
ATP5J	1
ATP5J2	1
ATP5L	1
ATP5L2	1
ATP5O	1
ATP5S	1
ATP5SL	1
ATP6AP1	1
ATP6AP1L	1
ATP6AP2	1
ATP6V0A1	1
ATP6V0A2	1
ATP6V0A4	1
ATP6V0B	1
ATP6V0C	1
ATP6V0D1	1
ATP6V0D2	1
ATP6V0E1	1
ATP6V0E2	1
ATP6V1A	1
ATP6V1B1	1
ATP6V1B2	1
ATP6V1C2	1
ATP6V1E1	1
ATP6V1E2	1
ATP6V1F	1
ATP6V1G1	1
ATP6V1G2	1
ATP6V1G3	1
ATP6V1H	1
ATP7B	1
ATP8A1	1
ATP8A2	1
ATP8B1	1
ATP8B3	1
ATP8B5P	1
ATP9B	1
ATPAF1	1
ATPAF2	1
ATPBD4	1
ATPIF1	1
ATR	1
ATRIP	1
ATRNL1	1
ATRX	1
ATXN1	1
ATXN10	1
ATXN1L	1
ATXN2L	1
ATXN3	1
ATXN3L	1
ATXN7	1
ATXN7L2	1
ATXN7L3	1
ATXN7L3B	1
AUH	1
AUP1	1
AURKA	1
AURKAIP1	1
AURKB	1
AURKC	1
AUTS2	1
AVEN	1
AVIL	1
AVL9	1
AVP	1
AVPR1A	1
AVPR2	1
AWAT1	1
AXIN1	1
AXIN2	1
AXL	1
AZGP1	1
AZI1	1
AZI2	1
AZU1	1
B2M	1
B3GALNT1	1
B3GALNT2	1
B3GALT1	1
B3GALT2	1
B3GALT4	1
B3GALT5	1
B3GALT6	1
B3GALTL	1
B3GAT1	1
B3GAT2	1
B3GAT3	1
B3GNT1	1
B3GNT2	1
B3GNT3	1
B3GNT4	1
B3GNT5	1
B3GNT6	1
B3GNT7	1
B3GNT8	1
B3GNT9	1
B3GNTL1	1
B4GALNT1	1
B4GALNT3	1
B4GALT2	1
B4GALT4	1
B4GALT5	1
B4GALT6	1
B4GALT7	1
B9D1	1
B9D2	1
BAALC	1
BAAT	1
BACE1	1
BACE2	1
BACH1	1
BAD	1
BAG1	1
BAG3	1
BAG5	1
BAGE	1
BAGE2	1
BAGE3	1
BAGE4	1
BAGE5	1
BAHCC1	1
BAHD1	1
BAI3	1
BAIAP2	1
BAIAP2L1	1
BAIAP2L2	1
BAIAP3	1
BAK1	1
BAMBI	1
BANF1	1
BANF2	1
BANK1	1
BANP	1
BAP1	1
BARD1	1
BARHL1	1
BARHL2	1
BARX1	1
BASP1	1
BAT1	1
BAT2	1
BAT2L1	1
BAT2L2	1
BAT3	1
BAT4	1
BATF	1
BATF2	1
BATF3	1
BAX	1
BAZ1A	1
BAZ1B	1
BAZ2B	1
BBC3	1
BBOX1	1
BBS1	1
BBS10	1
BBS12	1
BBS2	1
BBS4	1
BBS5	1
BBS7	1
BBS9	1
BCAM	1
BCAN	1
BCAP29	1
BCAS1	1
BCAS2	1
BCAS4	1
BCAT1	1
BCAT2	1
BCCIP	1
BCDIN3D	1
BCKDHA	1
BCKDHB	1
BCL10	1
BCL11A	1
BCL11B	1
BCL2	1
BCL2A1	1
BCL2L1	1
BCL2L10	1
BCL2L11	1
BCL2L12	1
BCL2L13	1
BCL2L14	1
BCL2L15	1
BCL2L2	1
BCL3	1
BCL6	1
BCL6B	1
BCL7A	1
BCL7B	1
BCL7C	1
BCL9L	1
BCR	1
BDH1	1
BDH2	1
BDKRB1	1
BDNF	1
BDP1	1
BECN1	1
BEGAIN	1
BEND2	1
BEND3	1
BEND4	1
BEND5	1
BEND6	1
BEND7	1
BEST1	1
BEST2	1
BEST3	1
BEST4	1
BET1	1
BET1L	1
BEX1	1
BEX2	1
BEX4	1
BEX5	1
BFSP1	1
BFSP2	1
BGLAP	1
BGN	1
BHLHA15	1
BHLHE22	1
BHLHE23	1
BHLHE40	1
BHLHE41	1
BHMT	1
BHMT2	1
BICD1	1
BICD2	1
BID	1
BIK	1
BIN1	1
BIN2	1
BIN3	1
BIRC2	1
BIRC5	1
BIRC6	1
BIRC7	1
BIRC8	1
BIVM	1
BLCAP	1
BLID	1
BLM	1
BLMH	1
BLNK	1
BLOC1S1	1
BLOC1S2	1
BLOC1S3	1
BLVRA	1
BLVRB	1
BLZF1	1
BMF	1
BMI1	1
BMP1	1
BMP10	1
BMP2	1
BMP2K	1
BMP3	1
BMP4	1
BMP5	1
BMP6	1
BMP7	1
BMP8A	1
BMP8B	1
BMPER	1
BMPR1A	1
BMPR1B	1
BMS1	1
BMS1P4	1
BMS1P5	1
BNC2	1
BNIP1	1
BNIP2	1
BNIP3	1
BNIP3L	1
BNIPL	1
BOC	1
BOD1	1
BOD1L	1
BOK	1
BOLA1	1
BOLA2	1
BOLA2B	1
BOLA3	1
BOLL	1
BOP1	1
BPGM	1
BPHL	1
BPI	1
BPIL1	1
BPIL2	1
BPIL3	1
BPNT1	1
BRAP	1
BRCC3	1
BRD1	1
BRD3	1
BRD4	1
BRD9	1
BRDT	1
BRE	1
BRF1	1
BRI3	1
BRIP1	1
BRIX1	1
BRMS1	1
BRMS1L	1
BRP44	1
BRP44L	1
BRPF1	1
BRPF3	1
BRS3	1
BRSK1	1
BRWD1	1
BRWD3	1
BSCL2	1
BSDC1	1
BSG	1
BSN	1
BSND	1
BSPRY	1
BST1	1
BST2	1
BTAF1	1
BTBD1	1
BTBD10	1
BTBD11	1
BTBD12	1
BTBD18	1
BTBD19	1
BTBD2	1
BTBD3	1
BTBD6	1
BTBD7	1
BTBD8	1
BTBD9	1
BTC	1
BTD	1
BTF3	1
BTF3L4	1
BTG1	1
BTG2	1
BTG3	1
BTG4	1
BTK	1
BTLA	1
BTN1A1	1
BTN2A2	1
BTN3A1	1
BTN3A2	1
BTN3A3	1
BTNL3	1
BTNL8	1
BTNL9	1
BUB1	1
BUB1B	1
BUB3	1
BUD13	1
BUD31	1
BVES	1
BZRAP1	1
BZW1	1
BZW2	1
C10orf10	1
C10orf105	1
C10orf107	1
C10orf11	1
C10orf111	1
C10orf113	1
C10orf114	1
C10orf116	1
C10orf118	1
C10orf119	1
C10orf12	1
C10orf120	1
C10orf125	1
C10orf128	1
C10orf137	1
C10orf140	1
C10orf18	1
C10orf2	1
C10orf25	1
C10orf26	1
C10orf27	1
C10orf28	1
C10orf32	1
C10orf35	1
C10orf46	1
C10orf47	1
C10orf53	1
C10orf54	1
C10orf55	1
C10orf57	1
C10orf58	1
C10orf62	1
C10orf67	1
C10orf68	1
C10orf72	1
C10orf76	1
C10orf78	1
C10orf79	1
C10orf81	1
C10orf82	1
C10orf84	1
C10orf88	1
C10orf90	1
C10orf91	1
C10orf93	1
C10orf95	1
C10orf99	1
C11orf1	1
C11orf10	1
C11orf16	1
C11orf17	1
C11orf2	1
C11orf20	1
C11orf21	1
C11orf24	1
C11orf31	1
C11orf40	1
C11orf41	1
C11orf42	1
C11orf45	1
C11orf46	1
C11orf48	1
C11orf51	1
C11orf52	1
C11orf53	1
C11orf54	1
C11orf57	1
C11orf58	1
C11orf59	1
C11orf61	1
C11orf63	1
C11orf65	1
C11orf67	1
C11orf68	1
C11orf70	1
C11orf71	1
C11orf73	1
C11orf74	1
C11orf75	1
C11orf80	1
C11orf82	1
C11orf83	1
C11orf84	1
C11orf85	1
C11orf87	1
C11orf88	1
C11orf9	1
C11orf92	1
C11orf93	1
C11orf94	1
C11orf95	1
C12orf10	1
C12orf12	1
C12orf23	1
C12orf24	1
C12orf26	1
C12orf29	1
C12orf34	1
C12orf39	1
C12orf40	1
C12orf41	1
C12orf42	1
C12orf43	1
C12orf44	1
C12orf45	1
C12orf49	1
C12orf5	1
C12orf50	1
C12orf52	1
C12orf53	1
C12orf54	1
C12orf56	1
C12orf59	1
C12orf60	1
C12orf61	1
C12orf62	1
C12orf64	1
C12orf65	1
C12orf66	1
C12orf68	1
C12orf69	1
C12orf71	1
C12orf72	1
C12orf73	1
C12orf75	1
C12orf76	1
C12orf77	1
C13orf1	1
C13orf15	1
C13orf16	1
C13orf18	1
C13orf23	1
C13orf27	1
C13orf28	1
C13orf30	1
C13orf31	1
C13orf33	1
C13orf34	1
C13orf35	1
C13orf36	1
C13orf37	1
C13orf39	1
C14orf1	1
C14orf101	1
C14orf102	1
C14orf105	1
C14orf109	1
C14orf118	1
C14orf119	1
C14orf126	1
C14orf129	1
C14orf132	1
C14orf135	1
C14orf138	1
C14orf142	1
C14orf145	1
C14orf147	1
C14orf148	1
C14orf149	1
C14orf153	1
C14orf159	1
C14orf166	1
C14orf166B	1
C14orf169	1
C14orf174	1
C14orf177	1
C14orf178	1
C14orf179	1
C14orf180	1
C14orf181	1
C14orf182	1
C14orf183	1
C14orf184	1
C14orf2	1
C14orf21	1
C14orf28	1
C14orf37	1
C14orf39	1
C14orf4	1
C14orf45	1
C14orf49	1
C14orf50	1
C14orf64	1
C14orf68	1
C14orf79	1
C14orf80	1
C14orf93	1
C15orf17	1
C15orf23	1
C15orf24	1
C15orf26	1
C15orf27	1
C15orf32	1
C15orf33	1
C15orf37	1
C15orf38	1
C15orf41	1
C15orf42	1
C15orf43	1
C15orf44	1
C15orf48	1
C15orf53	1
C15orf54	1
C15orf55	1
C15orf56	1
C15orf57	1
C15orf58	1
C15orf60	1
C15orf61	1
C15orf62	1
C15orf63	1
C16orf11	1
C16orf13	1
C16orf3	1
C16orf42	1
C16orf45	1
C16orf46	1
C16orf48	1
C16orf52	1
C16orf53	1
C16orf54	1
C16orf55	1
C16orf57	1
C16orf59	1
C16orf61	1
C16orf62	1
C16orf63	1
C16orf68	1
C16orf7	1
C16orf70	1
C16orf71	1
C16orf72	1
C16orf73	1
C16orf74	1
C16orf75	1
C16orf78	1
C16orf79	1
C16orf80	1
C16orf82	1
C16orf86	1
C16orf87	1
C16orf88	1
C16orf89	1
C16orf90	1
C16orf91	1
C16orf92	1
C16orf93	1
C17orf100	1
C17orf101	1
C17orf102	1
C17orf103	1
C17orf107	1
C17orf108	1
C17orf37	1
C17orf39	1
C17orf42	1
C17orf46	1
C17orf47	1
C17orf48	1
C17orf49	1
C17orf50	1
C17orf51	1
C17orf53	1
C17orf55	1
C17orf56	1
C17orf57	1
C17orf58	1
C17orf59	1
C17orf60	1
C17orf61	1
C17orf62	1
C17orf63	1
C17orf64	1
C17orf65	1
C17orf66	1
C17orf67	1
C17orf68	1
C17orf70	1
C17orf72	1
C17orf74	1
C17orf75	1
C17orf76	1
C17orf77	1
C17orf78	1
C17orf79	1
C17orf80	1
C17orf81	1
C17orf82	1
C17orf85	1
C17orf87	1
C17orf89	1
C17orf90	1
C17orf96	1
C17orf97	1
C17orf98	1
C18orf1	1
C18orf19	1
C18orf21	1
C18orf22	1
C18orf25	1
C18orf26	1
C18orf32	1
C18orf34	1
C18orf45	1
C18orf54	1
C18orf55	1
C18orf56	1
C18orf62	1
C18orf8	1
C19orf10	1
C19orf18	1
C19orf2	1
C19orf20	1
C19orf21	1
C19orf22	1
C19orf24	1
C19orf25	1
C19orf26	1
C19orf28	1
C19orf29	1
C19orf33	1
C19orf36	1
C19orf38	1
C19orf39	1
C19orf41	1
C19orf42	1
C19orf43	1
C19orf44	1
C19orf45	1
C19orf46	1
C19orf47	1
C19orf48	1
C19orf50	1
C19orf51	1
C19orf52	1
C19orf53	1
C19orf54	1
C19orf55	1
C19orf56	1
C19orf59	1
C19orf6	1
C19orf60	1
C19orf62	1
C19orf63	1
C19orf66	1
C19orf70	1
C19orf71	1
C19orf73	1
C19orf75	1
C19orf77	1
C1D	1
C1GALT1	1
C1GALT1C1	1
C1QA	1
C1QB	1
C1QBP	1
C1QC	1
C1QL1	1
C1QL2	1
C1QL3	1
C1QL4	1
C1QTNF1	1
C1QTNF2	1
C1QTNF3	1
C1QTNF4	1
C1QTNF5	1
C1QTNF6	1
C1QTNF7	1
C1QTNF8	1
C1QTNF9	1
C1QTNF9B	1
C1R	1
C1S	1
C1orf100	1
C1orf101	1
C1orf103	1
C1orf104	1
C1orf105	1
C1orf106	1
C1orf107	1
C1orf109	1
C1orf110	1
C1orf111	1
C1orf112	1
C1orf113	1
C1orf114	1
C1orf115	1
C1orf116	1
C1orf123	1
C1orf125	1
C1orf127	1
C1orf128	1
C1orf129	1
C1orf130	1
C1orf131	1
C1orf135	1
C1orf14	1
C1orf141	1
C1orf144	1
C1orf146	1
C1orf150	1
C1orf151	1
C1orf156	1
C1orf158	1
C1orf159	1
C1orf161	1
C1orf162	1
C1orf163	1
C1orf168	1
C1orf170	1
C1orf172	1
C1orf173	1
C1orf174	1
C1orf182	1
C1orf183	1
C1orf186	1
C1orf189	1
C1orf190	1
C1orf192	1
C1orf200	1
C1orf201	1
C1orf204	1
C1orf21	1
C1orf210	1
C1orf213	1
C1orf216	1
C1orf220	1
C1orf227	1
C1orf228	1
C1orf229	1
C1orf25	1
C1orf26	1
C1orf27	1
C1orf31	1
C1orf35	1
C1orf38	1
C1orf43	1
C1orf49	1
C1orf50	1
C1orf51	1
C1orf52	1
C1orf53	1
C1orf54	1
C1orf55	1
C1orf56	1
C1orf57	1
C1orf58	1
C1orf59	1
C1orf61	1
C1orf64	1
C1orf65	1
C1orf66	1
C1orf69	1
C1orf74	1
C1orf77	1
C1orf83	1
C1orf84	1
C1orf86	1
C1orf87	1
C1orf88	1
C1orf89	1
C1orf9	1
C1orf91	1
C1orf92	1
C1orf93	1
C1orf94	1
C1orf95	1
C1orf96	1
C2	1
C20orf103	1
C20orf106	1
C20orf107	1
C20orf108	1
C20orf11	1
C20orf111	1
C20orf112	1
C20orf114	1
C20orf118	1
C20orf132	1
C20orf134	1
C20orf135	1
C20orf141	1
C20orf144	1
C20orf151	1
C20orf152	1
C20orf160	1
C20orf165	1
C20orf166	1
C20orf177	1
C20orf194	1
C20orf195	1
C20orf196	1
C20orf197	1
C20orf20	1
C20orf201	1
C20orf202	1
C20orf203	1
C20orf24	1
C20orf26	1
C20orf27	1
C20orf29	1
C20orf3	1
C20orf30	1
C20orf4	1
C20orf46	1
C20orf54	1
C20orf7	1
C20orf70	1
C20orf71	1
C20orf72	1
C20orf79	1
C20orf85	1
C20orf94	1
C20orf96	1
C21orf119	1
C21orf2	1
C21orf29	1
C21orf33	1
C21orf45	1
C21orf49	1
C21orf56	1
C21orf57	1
C21orf59	1
C21orf62	1
C21orf63	1
C21orf67	1
C21orf7	1
C21orf70	1
C21orf88	1
C21orf91	1
C22orf13	1
C22orf15	1
C22orf23	1
C22orf24	1
C22orf25	1
C22orf26	1
C22orf29	1
C22orf31	1
C22orf32	1
C22orf34	1
C22orf36	1
C22orf39	1
C22orf40	1
C22orf42	1
C22orf43	1
C22orf46	1
C2CD2	1
C2CD2L	1
C2CD4A	1
C2CD4B	1
C2CD4C	1
C2orf15	1
C2orf16	1
C2orf18	1
C2orf27A	1
C2orf28	1
C2orf29	1
C2orf3	1
C2orf39	1
C2orf40	1
C2orf42	1
C2orf43	1
C2orf44	1
C2orf48	1
C2orf49	1
C2orf50	1
C2orf51	1
C2orf53	1
C2orf54	1
C2orf56	1
C2orf57	1
C2orf60	1
C2orf61	1
C2orf63	1
C2orf64	1
C2orf66	1
C2orf67	1
C2orf68	1
C2orf69	1
C2orf7	1
C2orf70	1
C2orf71	1
C2orf72	1
C2orf73	1
C2orf74	1
C2orf76	1
C2orf78	1
C2orf79	1
C2orf80	1
C2orf81	1
C2orf82	1
C2orf83	1
